BARRI;CATEGORIA;CODIGO
Baró de Viver;Vulnerable · riesgo de calor alto;08030
Can Baró;No vulnerable · riesgo de calor medio;08024
Can Peguera;Vulnerable · riesgo de calor medio;08031
Canyelles;Vulnerable · riesgo de calor bajo;08042
Ciutat Meridiana;Vulnerable · riesgo de calor medio;08033
Diagonal Mar i el Front Marítim del Poblenou;No vulnerable · riesgo de calor medio;08019
El Baix Guinardó;No vulnerable · riesgo de calor medio;08025
El Barri Gòtic;No vulnerable · riesgo de calor medio;08002
El Besòs i el Maresme;Vulnerable · riesgo de calor medio;08019
El Bon Pastor;Vulnerable · riesgo de calor medio;08030
El Camp d'en Grassot i Gràcia Nova;No vulnerable · riesgo de calor medio;08024
El Camp de l'Arpa del Clot;No vulnerable · riesgo de calor medio;08026
El Carmel;Vulnerable · riesgo de calor medio;08032
El Clot;No vulnerable · riesgo de calor medio;08018
El Coll;No vulnerable · riesgo de calor medio;08023
El Congrés i Els Indians;No vulnerable · riesgo de calor medio;08027
El Fort Pienc;No vulnerable · riesgo de calor medio;08013
El Guinardó;No vulnerable · riesgo de calor medio;08041
El Parc i La Llacuna del Poblenou;No vulnerable · riesgo de calor medio;08005
El Poble Sec;No vulnerable · riesgo de calor medio;08018
El Poblenou;No vulnerable · riesgo de calor medio;08005
El Putxet i El Farró;No vulnerable · riesgo de calor medio;08023
El Raval;No vulnerable · riesgo de calor medio;08001
El Turó de la Peira;Vulnerable · riesgo de calor medio;08031
Horta;No vulnerable · riesgo de calor medio;08032
Hostafrancs;No vulnerable · riesgo de calor alto;08014
L'Antiga Esquerra de l'Eixample;No vulnerable · riesgo de calor alto;08016
La Barceloneta;No vulnerable · riesgo de calor medio;08003
La Bordeta;No vulnerable · riesgo de calor alto;08014
La Clota;No vulnerable · riesgo de calor medio;08035
La Dreta de l'Eixample;No vulnerable · riesgo de calor medio;08009
La Font d'en Fargues;No vulnerable · riesgo de calor medio;08032
La Font de la Guatlla;No vulnerable · riesgo de calor alto;08004
La Guineueta;No vulnerable · riesgo de calor medio;08042
La Marina de Port;No vulnerable · riesgo de calor alto;08039
La Marina del Prat Vermell;Vulnerable · riesgo de calor alto;08042
La Maternitat i Sant Ramon;No vulnerable · riesgo de calor alto;08028
La Nova Esquerra de l'Eixample;No vulnerable · riesgo de calor alto;08003
La Prosperitat;Vulnerable · riesgo de calor medio;08016
La Sagrada Família;No vulnerable · riesgo de calor medio;08025
La Sagrera;No vulnerable · riesgo de calor alto;08027
La Salut;No vulnerable · riesgo de calor medio;08024
La Teixonera;No vulnerable · riesgo de calor medio;08035
La Trinitat Nova;Vulnerable · riesgo de calor medio;08033
La Trinitat Vella;Vulnerable · riesgo de calor medio;08033
La Vall d'Hebron;No vulnerable · riesgo de calor bajo;08035
La Verneda i la Pau;No vulnerable · riesgo de calor medio;08020
La Vila Olímpica del Poblenou;No vulnerable · riesgo de calor medio;08005
La Vila de Gràcia;No vulnerable · riesgo de calor medio;08012
Les Corts;No vulnerable · riesgo de calor alto;08028
Les Roquetes;Vulnerable · riesgo de calor bajo;08035
Les Tres Torres;No vulnerable · riesgo de calor medio;08017
Montbau;No vulnerable · riesgo de calor bajo;08035
Navas;No vulnerable · riesgo de calor medio;08027
Pedralbes;No vulnerable · riesgo de calor medio;08034
Porta;No vulnerable · riesgo de calor medio;08016
Provençals del Poblenou;No vulnerable · riesgo de calor medio;08020
Sant Andreu;No vulnerable · riesgo de calor medio;08030
Sant Antoni;No vulnerable · riesgo de calor alto;08015
Sant Genís dels Agudells;No vulnerable · riesgo de calor bajo;08035
Sant Gervasi - Galvany;No vulnerable · riesgo de calor medio;08021
Sant Gervasi - la Bonanova;No vulnerable · riesgo de calor medio;08022
Sant Martí de Provençals;No vulnerable · riesgo de calor medio;08020
Sant Pere, Santa Caterina i la Ribera;No vulnerable · riesgo de calor medio;08003
Sants;No vulnerable · riesgo de calor alto;08014
Sants - Badal;No vulnerable · riesgo de calor alto;08028
Sarrià;No vulnerable · riesgo de calor medio;08017
Torre Baró;Vulnerable · riesgo de calor medio;08033
Vallbona;Vulnerable · riesgo de calor medio;08042
Vallcarca i Els Penitents;No vulnerable · riesgo de calor medio;08023
Vallvidrera, El Tibidabo i Les Planes;No vulnerable · riesgo de calor bajo;08017
Verdun;Vulnerable · riesgo de calor bajo;08042
Vilapicina i La Torre Llobeta;No vulnerable · riesgo de calor medio;08031
